,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
312,2010,Mornington Peninsula (S),25,1589,0.015733165512901194,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
313,2011,Mornington Peninsula (S),34,1666,0.02040816326530612,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
314,2012,Mornington Peninsula (S),29,1713,0.016929363689433742,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
315,2013,Mornington Peninsula (S),25,1782,0.014029180695847363,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
316,2014,Mornington Peninsula (S),27,1807,0.014941892639734366,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
317,2015,Mornington Peninsula (S),33,1769,0.018654607122668174,"Mornington Peninsula, Victoria, Australia",-38.22801,145.061291145833
318,2010,Mount Alexander (S),5,165,0.030303030303030304,"Mount Alexander, Victoria, Australia",-28.9332607,120.2780411
332,2012,Murrindindi (S),5,147,0.034013605442176874,"Murrindindi, Victoria, Australia",-37.28146,145.553463169619
336,2010,Nillumbik (S),18,685,0.026277372262773723,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
337,2011,Nillumbik (S),23,647,0.03554868624420402,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
338,2012,Nillumbik (S),24,699,0.034334763948497854,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
339,2013,Nillumbik (S),26,695,0.03741007194244604,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
340,2014,Nillumbik (S),19,671,0.028315946348733235,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
341,2015,Nillumbik (S),16,544,0.029411764705882353,"Nillumbik, Victoria, Australia",-37.688515,145.208948163304
344,2012,Northern Grampians (S),5,108,0.046296296296296294,"Northern Grampians, Victoria, Australia",-37.3123098,143.7146095
348,2010,Port Phillip (C),14,572,0.024475524475524476,"Port Phillip, Victoria, Australia",-38.06125,144.82465
349,2011,Port Phillip (C),8,554,0.01444043321299639,"Port Phillip, Victoria, Australia",-38.06125,144.82465
350,2012,Port Phillip (C),17,602,0.02823920265780731,"Port Phillip, Victoria, Australia",-38.06125,144.82465
351,2013,Port Phillip (C),23,682,0.03372434017595308,"Port Phillip, Victoria, Australia",-38.06125,144.82465
352,2014,Port Phillip (C),14,696,0.020114942528735632,"Port Phillip, Victoria, Australia",-38.06125,144.82465
353,2015,Port Phillip (C),15,709,0.021156558533145273,"Port Phillip, Victoria, Australia",-38.06125,144.82465
366,2010,South Gippsland (S),5,315,0.015873015873015872,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
367,2011,South Gippsland (S),7,329,0.02127659574468085,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
368,2012,South Gippsland (S),10,343,0.029154518950437316,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
369,2013,South Gippsland (S),6,349,0.017191977077363897,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
370,2014,South Gippsland (S),10,345,0.028985507246376812,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
371,2015,South Gippsland (S),7,331,0.021148036253776436,"South Gippsland, Victoria, Australia",-38.2138835,145.3808754
373,2011,Southern Grampians (S),5,166,0.030120481927710843,"Southern Grampians, Victoria, Australia",-37.5902222,143.8245772
374,2012,Southern Grampians (S),6,169,0.03550295857988166,"Southern Grampians, Victoria, Australia",-37.5902222,143.8245772
378,2010,Stonnington (C),18,585,0.03076923076923077,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
379,2011,Stonnington (C),21,591,0.03553299492385787,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
380,2012,Stonnington (C),20,529,0.03780718336483932,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
381,2013,Stonnington (C),24,657,0.0365296803652968,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
382,2014,Stonnington (C),22,668,0.03293413173652695,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
383,2015,Stonnington (C),36,667,0.053973013493253376,"Stonnington, Victoria, Australia",-37.8613851,145.03914073484
391,2011,Surf Coast (S),15,373,0.040214477211796246,"Surf Coast, Victoria, Australia",-38.509375,145.287367154373
392,2012,Surf Coast (S),8,300,0.02666666666666667,"Surf Coast, Victoria, Australia",-38.509375,145.287367154373
393,2013,Surf Coast (S),5,366,0.01366120218579235,"Surf Coast, Victoria, Australia",-38.509375,145.287367154373
395,2015,Surf Coast (S),12,417,0.02877697841726619,"Surf Coast, Victoria, Australia",-38.509375,145.287367154373
399,2013,Swan Hill (RC),7,252,0.027777777777777776,"Swan Hill, Victoria, Australia",-33.89509,120.55955
401,2015,Swan Hill (RC),6,265,0.022641509433962263,"Swan Hill, Victoria, Australia",-33.89509,120.55955
474,2010,Wangaratta (RC),5,334,0.014970059880239521,"Wangaratta, Victoria, Australia",-36.3562509,146.3230914
475,2011,Wangaratta (RC),10,330,0.030303030303030304,"Wangaratta, Victoria, Australia",-36.3562509,146.3230914
476,2012,Wangaratta (RC),11,330,0.03333333333333333,"Wangaratta, Victoria, Australia",-36.3562509,146.3230914
477,2013,Wangaratta (RC),5,341,0.01466275659824047,"Wangaratta, Victoria, Australia",-36.3562509,146.3230914
478,2014,Wangaratta (RC),7,312,0.022435897435897436,"Wangaratta, Victoria, Australia",-36.3562509,146.3230914
481,2011,Warrnambool (C),10,396,0.025252525252525252,"Warrnambool, Victoria, Australia",-38.369875,142.486467125823
482,2012,Warrnambool (C),7,345,0.020289855072463767,"Warrnambool, Victoria, Australia",-38.369875,142.486467125823
