Year,LGA,Numerator,Denominator,Indicator
2010,Mornington Peninsula (S),25,1589,0.015733165512901194
2011,Mornington Peninsula (S),34,1666,0.02040816326530612
2012,Mornington Peninsula (S),29,1713,0.016929363689433742
2013,Mornington Peninsula (S),25,1782,0.014029180695847363
2014,Mornington Peninsula (S),27,1807,0.014941892639734366
2015,Mornington Peninsula (S),33,1769,0.018654607122668174
2010,Mount Alexander (S),5,165,0.030303030303030304
2011,Mount Alexander (S),NDP,NDP,NDP
2012,Mount Alexander (S),NDP,NDP,NDP
2013,Mount Alexander (S),NDP,NDP,NDP
2014,Mount Alexander (S),NDP,NDP,NDP
2015,Mount Alexander (S),NDP,NDP,NDP
2010,Moyne (S),NDP,NDP,NDP
2011,Moyne (S),NDP,NDP,NDP
2012,Moyne (S),NDP,NDP,NDP
2013,Moyne (S),NDP,NDP,NDP
2014,Moyne (S),NDP,NDP,NDP
2015,Moyne (S),NDP,NDP,NDP
2010,Murrindindi (S),NDP,NDP,NDP
2011,Murrindindi (S),NDP,NDP,NDP
2012,Murrindindi (S),5,147,0.034013605442176874
2013,Murrindindi (S),NDP,NDP,NDP
2014,Murrindindi (S),NDP,NDP,NDP
2015,Murrindindi (S),NDP,NDP,NDP
2010,Nillumbik (S),18,685,0.026277372262773723
2011,Nillumbik (S),23,647,0.03554868624420402
2012,Nillumbik (S),24,699,0.034334763948497854
2013,Nillumbik (S),26,695,0.03741007194244604
2014,Nillumbik (S),19,671,0.028315946348733235
2015,Nillumbik (S),16,544,0.029411764705882353
2010,Northern Grampians (S),NDP,NDP,NDP
2011,Northern Grampians (S),NDP,NDP,NDP
2012,Northern Grampians (S),5,108,0.046296296296296294
2013,Northern Grampians (S),NDP,NDP,NDP
2014,Northern Grampians (S),NDP,NDP,NDP
2015,Northern Grampians (S),NDP,NDP,NDP
2010,Port Phillip (C),14,572,0.024475524475524476
2011,Port Phillip (C),8,554,0.01444043321299639
2012,Port Phillip (C),17,602,0.02823920265780731
2013,Port Phillip (C),23,682,0.03372434017595308
2014,Port Phillip (C),14,696,0.020114942528735632
2015,Port Phillip (C),15,709,0.021156558533145273
2010,Pyrenees (S),NDP,NDP,NDP
2011,Pyrenees (S),NDP,NDP,NDP
2012,Pyrenees (S),NDP,NDP,NDP
2013,Pyrenees (S),NDP,NDP,NDP
2014,Pyrenees (S),NDP,NDP,NDP
2015,Pyrenees (S),NDP,NDP,NDP
2010,Queenscliffe (B),NDP,NDP,NDP
2011,Queenscliffe (B),NDP,NDP,NDP
2012,Queenscliffe (B),NDP,NDP,NDP
2013,Queenscliffe (B),NDP,NDP,NDP
2014,Queenscliffe (B),NDP,NDP,NDP
2015,Queenscliffe (B),NDP,NDP,NDP
2010,South Gippsland (S),5,315,0.015873015873015872
2011,South Gippsland (S),7,329,0.02127659574468085
2012,South Gippsland (S),10,343,0.029154518950437316
2013,South Gippsland (S),6,349,0.017191977077363897
2014,South Gippsland (S),10,345,0.028985507246376812
2015,South Gippsland (S),7,331,0.021148036253776436
2010,Southern Grampians (S),NDP,NDP,NDP
2011,Southern Grampians (S),5,166,0.030120481927710843
2012,Southern Grampians (S),6,169,0.03550295857988166
2013,Southern Grampians (S),NDP,NDP,NDP
2014,Southern Grampians (S),NDP,NDP,NDP
2015,Southern Grampians (S),NDP,NDP,NDP
2010,Stonnington (C),18,585,0.03076923076923077
2011,Stonnington (C),21,591,0.03553299492385787
2012,Stonnington (C),20,529,0.03780718336483932
2013,Stonnington (C),24,657,0.0365296803652968
2014,Stonnington (C),22,668,0.03293413173652695
2015,Stonnington (C),36,667,0.053973013493253376
2010,Strathbogie (S),NDP,NDP,NDP
2011,Strathbogie (S),NDP,NDP,NDP
2012,Strathbogie (S),NDP,NDP,NDP
2013,Strathbogie (S),NDP,NDP,NDP
2014,Strathbogie (S),NDP,NDP,NDP
2015,Strathbogie (S),NDP,NDP,NDP
2010,Surf Coast (S),NDP,NDP,NDP
2011,Surf Coast (S),15,373,0.040214477211796246
2012,Surf Coast (S),8,300,0.02666666666666667
2013,Surf Coast (S),5,366,0.01366120218579235
2014,Surf Coast (S),NDP,NDP,NDP
2015,Surf Coast (S),12,417,0.02877697841726619
2010,Swan Hill (RC),NDP,NDP,NDP
2011,Swan Hill (RC),NDP,NDP,NDP
2012,Swan Hill (RC),NDP,NDP,NDP
2013,Swan Hill (RC),7,252,0.027777777777777776
2014,Swan Hill (RC),NDP,NDP,NDP
2015,Swan Hill (RC),6,265,0.022641509433962263
2010,Towong (S),NDP,NDP,NDP
2011,Towong (S),NDP,NDP,NDP
2012,Towong (S),NDP,NDP,NDP
2013,Towong (S),NDP,NDP,NDP
2014,Towong (S),NDP,NDP,NDP
2015,Towong (S),NDP,NDP,NDP
2010,Unincorporated Vic,NDP,NDP,NDP
2011,Unincorporated Vic,NDP,NDP,NDP
2012,Unincorporated Vic,NDP,NDP,NDP
2013,Unincorporated Vic,NDP,NDP,NDP
2014,Unincorporated Vic,NDP,NDP,NDP
2015,Unincorporated Vic,NDP,NDP,NDP
2010,Victoria,1342,56981,0.023543
2011,Victoria,1374,58970,0.023295
2012,Victoria,1423,60478,0.023524
2013,Victoria,1388,63935,0.021706
2014,Victoria,1382,63391,0.021795
2015,Victoria,1286,63308,0.020313388513300057
2010,Victoria - Female,560,27158,0.020620075115987922
2011,Victoria - Female,537,28230,0.019022316684378322
2012,Victoria - Female,555,28688,0.01934606804238706
2013,Victoria - Female,543,29970,0.01811811811811812
2014,Victoria - Female,537,29895,0.017962870045158053
2015,Victoria - Female,518,29400,0.017619047619047618
2010,Victoria - Gender Status Unknown,13,1359,0.009565857247976454
2011,Victoria - Gender Status Unknown,6,1509,0.003976143141153081
2012,Victoria - Gender Status Unknown,10,1777,0.005627462014631401
2013,Victoria - Gender Status Unknown,6,2367,0.0025348542458808617
2014,Victoria - Gender Status Unknown,7,2259,0.003098716246126605
2015,Victoria - Gender Status Unknown,7,3539,0.0019779598756710934
2010,Victoria - Indigenous,14,887,0.015783540022547914
2011,Victoria - Indigenous,13,887,0.014656144306651634
2012,Victoria - Indigenous,17,905,0.01878453038674033
2013,Victoria - Indigenous,17,1000,0.017
2014,Victoria - Indigenous,19,1017,0.018682399213372666
2015,Victoria - Indigenous,16,1015,0.015763546798029555
2010,Victoria - Indigenous Status Unknown,15,1622,0.009247842170160296
2011,Victoria - Indigenous Status Unknown,12,2081,0.005766458433445459
2012,Victoria - Indigenous Status Unknown,8,2151,0.003719200371920037
2013,Victoria - Indigenous Status Unknown,16,2680,0.005970149253731343
2014,Victoria - Indigenous Status Unknown,7,2751,0.002544529262086514
2015,Victoria - Indigenous Status Unknown,11,4024,0.0027335984095427437
